alpha,condition_number,rho,trial,lambda,pinv_error,tikhonov_error,pinv_amplification,tikhonov_amplification
8,100000000,0.001,8,1e-06,3459.9938396034368,0.7583437454130304,3459993.8396034366,758.3437454130304
8,100000000,0.001,9,1e-06,2795.8436146730196,0.7722390082193196,2795843.6146730194,772.2390082193195
8,100000000,0.001,10,1e-06,2891.769710845448,0.7957496551353669,2891769.710845448,795.7496551353669
8,100000000,0.001,11,1e-06,1602.1185879363359,0.8164228892687824,1602118.587936336,816.4228892687823
8,100000000,0.001,12,1e-06,2727.2519460178432,0.7920074803867402,2727251.946017843,792.0074803867402
8,100000000,0.001,13,1e-06,1650.2652334757042,0.8267648327008724,1650265.2334757042,826.7648327008724
8,100000000,0.001,14,1e-06,3207.27092778094,0.7454565962643305,3207270.9277809397,745.4565962643304
8,100000000,0.001,15,1e-06,2526.9096322943747,0.764127372817732,2526909.6322943745,764.127372817732
8,100000000,0.001,16,1e-06,4345.567992526433,0.7762299191707225,4345567.9925264325,776.2299191707225
8,100000000,0.001,17,1e-06,3885.615754935252,0.7980571970202746,3885615.754935252,798.0571970202745
8,100000000,0.001,18,1e-06,2901.238216850846,0.7354723136890662,2901238.216850846,735.4723136890661
8,100000000,0.001,19,1e-06,2641.3100636238323,0.7742254959132242,2641310.063623832,774.2254959132242
8,100000000,0.01,0,1e-06,23963.685123998326,0.8187134318327985,2396368.5123998327,81.87134318327985
8,100000000,0.01,1,1e-06,30880.924451180934,0.7936114053143981,3088092.4451180934,79.36114053143982
8,100000000,0.01,2,1e-06,29927.34521167773,0.8050153328131145,2992734.5211677733,80.50153328131147
8,100000000,0.01,3,1e-06,22607.270969016165,0.7855955033863524,2260727.0969016165,78.55955033863525
8,100000000,0.01,4,1e-06,22568.46409987546,0.8342498009817522,2256846.4099875456,83.42498009817521
8,100000000,0.01,5,1e-06,21743.37356876166,0.7389435124178344,2174337.356876166,73.89435124178344
8,100000000,0.01,6,1e-06,21653.35934018155,0.7969577039669553,2165335.9340181546,79.69577039669554
8,100000000,0.01,7,1e-06,28012.967015785376,0.8163589983727713,2801296.701578538,81.63589983727714
8,100000000,0.01,8,1e-06,24776.261695353292,0.8358558666882129,2477626.169535329,83.58558666882129
8,100000000,0.01,9,1e-06,43137.52678015887,0.8648895096874262,4313752.678015887,86.48895096874261
8,100000000,0.01,10,1e-06,22476.996107389496,0.7880750988930265,2247699.610738949,78.80750988930264
8,100000000,0.01,11,1e-06,23052.575046532347,0.8487109528925494,2305257.5046532345,84.87109528925494
8,100000000,0.01,12,1e-06,26592.12643048511,0.7947374331349276,2659212.643048511,79.47374331349276
8,100000000,0.01,13,1e-06,33483.15480566375,0.8233612292804393,3348315.4805663745,82.33612292804393
8,100000000,0.01,14,1e-06,28387.453806106645,0.807160153467933,2838745.3806106644,80.7160153467933
8,100000000,0.01,15,1e-06,22713.700469343814,0.8803265521449146,2271370.046934381,88.03265521449146
8,100000000,0.01,16,1e-06,23746.945789810427,0.7975755178904161,2374694.5789810424,79.75755178904161
8,100000000,0.01,17,1e-06,28421.44031682571,0.8650007646221621,2842144.031682571,86.50007646221621
8,100000000,0.01,18,1e-06,40581.77653755695,0.7800865792572055,4058177.653755694,78.00865792572053
